epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,881.274,2.24114,2.11257,1.45766,0.67012,0.50987,0.53373,0.21647,2.17997,1.88162,1.37286,0.00333241,0.00333241,0.00333241
2,1730.4,2.03887,1.6794,1.36507,0.6967,0.52418,0.55672,0.23799,2.12833,1.7239,1.36988,0.00663274,0.00663274,0.00663274
3,2575.81,2.06941,1.70962,1.38679,0.68944,0.5231,0.55939,0.23803,2.10754,1.74441,1.36655,0.00990008,0.00990008,0.00990008
4,3435.08,2.11056,1.77216,1.4077,0.67003,0.51754,0.55616,0.23346,2.06427,1.71593,1.34571,0.0098515,0.0098515,0.0098515
5,4275.04,2.08831,1.74417,1.39993,0.72338,0.52895,0.57398,0.24329,2.04089,1.70838,1.34041,0.009802,0.009802,0.009802
6,5113.35,2.05804,1.66758,1.3845,0.70497,0.53482,0.57852,0.24748,2.01714,1.69952,1.31166,0.0097525,0.0097525,0.0097525
7,5952.28,2.04318,1.66145,1.38151,0.71562,0.55248,0.60456,0.26214,2.0177,1.65197,1.31973,0.009703,0.009703,0.009703
8,6798.76,2.02675,1.65729,1.36875,0.7682,0.56604,0.62527,0.28385,1.96243,1.62848,1.28115,0.0096535,0.0096535,0.0096535
9,7635.9,2.00326,1.60722,1.36283,0.75548,0.58773,0.62846,0.2823,1.96122,1.56705,1.30213,0.009604,0.009604,0.009604
10,8477.53,1.98542,1.57229,1.35302,0.77062,0.59853,0.65223,0.29263,1.98799,1.54552,1.32079,0.0095545,0.0095545,0.0095545
11,9317.99,1.97793,1.57304,1.34687,0.75658,0.59244,0.63702,0.28923,1.92513,1.5465,1.28266,0.009505,0.009505,0.009505
12,10156,1.98131,1.56574,1.34869,0.78285,0.60988,0.66051,0.30554,1.9288,1.5351,1.27499,0.0094555,0.0094555,0.0094555
13,10998.7,1.95187,1.52984,1.33809,0.77804,0.59423,0.65151,0.30131,1.93856,1.52225,1.2779,0.009406,0.009406,0.009406
14,11853.2,1.94206,1.51066,1.33523,0.78362,0.6063,0.66394,0.31458,1.9023,1.48897,1.27536,0.0093565,0.0093565,0.0093565
15,12689.1,1.91912,1.4836,1.32381,0.79442,0.60275,0.67151,0.32135,1.86817,1.48173,1.25599,0.009307,0.009307,0.009307
16,13524.4,1.9169,1.45903,1.31738,0.79927,0.62216,0.68347,0.32342,1.88992,1.48516,1.25408,0.0092575,0.0092575,0.0092575
17,14369.2,1.91921,1.48605,1.31926,0.79618,0.62583,0.6897,0.32347,1.88541,1.46746,1.26677,0.009208,0.009208,0.009208
18,15215.4,1.90736,1.46933,1.31185,0.7926,0.61764,0.68349,0.32913,1.85381,1.44281,1.25272,0.0091585,0.0091585,0.0091585
19,16062.1,1.89619,1.45052,1.31027,0.81469,0.6222,0.69217,0.33278,1.83703,1.44284,1.24766,0.009109,0.009109,0.009109
20,16899.7,1.88354,1.43669,1.30584,0.80541,0.63959,0.70662,0.34583,1.83738,1.42447,1.23997,0.0090595,0.0090595,0.0090595
21,17732.1,1.86717,1.41047,1.29901,0.803,0.64297,0.70485,0.34322,1.85687,1.41619,1.24795,0.00901,0.00901,0.00901
22,18577.2,1.86292,1.41489,1.29654,0.80179,0.6509,0.70798,0.34766,1.82346,1.39884,1.23003,0.0089605,0.0089605,0.0089605
23,19421.7,1.8726,1.40651,1.29852,0.815,0.64516,0.71207,0.35096,1.82469,1.40036,1.23609,0.008911,0.008911,0.008911
24,20262.2,1.84573,1.37477,1.28953,0.81898,0.65786,0.7231,0.35403,1.81535,1.3729,1.23264,0.0088615,0.0088615,0.0088615
25,21091.8,1.8498,1.37959,1.29041,0.82208,0.65596,0.72593,0.36121,1.80011,1.35776,1.22939,0.008812,0.008812,0.008812
26,21931,1.83521,1.35837,1.2818,0.83082,0.65925,0.73124,0.36552,1.7986,1.33465,1.22724,0.0087625,0.0087625,0.0087625
27,22777,1.81939,1.34153,1.27672,0.82645,0.66466,0.73699,0.36899,1.77959,1.33512,1.21563,0.008713,0.008713,0.008713
28,23630.1,1.81434,1.36862,1.27278,0.83308,0.65731,0.73124,0.3645,1.7784,1.32556,1.21865,0.0086635,0.0086635,0.0086635
29,24459.7,1.81457,1.34796,1.27664,0.82683,0.67364,0.74066,0.37788,1.76802,1.33515,1.21002,0.008614,0.008614,0.008614
