epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,587.638,1.88644,2.07583,1.3011,0.58221,0.14802,0.11515,0.06138,1.75157,1.58832,1.21564,0.00333189,0.00333189,0.00333189
2,1171.53,1.80974,1.57739,1.23069,0.4845,0.14636,0.11886,0.06497,1.74055,1.49504,1.20611,0.00659924,0.00659924,0.00659924
3,1756.58,1.85819,1.60348,1.24668,0.46137,0.15507,0.10675,0.05529,1.76866,1.55753,1.22341,0.00980059,0.00980059,0.00980059
4,2339.11,1.88705,1.62475,1.27713,0.4288,0.14057,0.10342,0.05251,1.77745,1.5734,1.25156,0.009703,0.009703,0.009703
5,2922.67,1.85173,1.50461,1.26474,0.41443,0.17363,0.12769,0.0662,1.73829,1.49114,1.23636,0.009604,0.009604,0.009604
6,3505.8,1.83134,1.46977,1.26066,0.41965,0.19223,0.14715,0.07606,1.72453,1.42966,1.22168,0.009505,0.009505,0.009505
7,4087.61,1.80775,1.41714,1.25048,0.43351,0.21528,0.1641,0.08901,1.72213,1.40646,1.23154,0.009406,0.009406,0.009406
8,4671.38,1.7866,1.38126,1.24356,0.50213,0.20726,0.14757,0.07858,1.71165,1.40832,1.237,0.009307,0.009307,0.009307
9,5253.69,1.77508,1.35196,1.24148,0.57871,0.21013,0.17002,0.08809,1.70224,1.40212,1.21396,0.009208,0.009208,0.009208
10,5835.78,1.76569,1.33434,1.23799,0.53046,0.23747,0.18758,0.10061,1.68845,1.37753,1.22113,0.009109,0.009109,0.009109
11,6418.04,1.75092,1.31665,1.22577,0.5423,0.21841,0.1766,0.09408,1.67763,1.35086,1.2133,0.00901,0.00901,0.00901
12,6998.49,1.7496,1.31995,1.22959,0.4551,0.26453,0.21888,0.1189,1.672,1.3463,1.21655,0.008911,0.008911,0.008911
13,7580.21,1.73769,1.30137,1.22598,0.58501,0.23455,0.21634,0.11941,1.66783,1.32609,1.20325,0.008812,0.008812,0.008812
14,8161.38,1.73498,1.27871,1.22084,0.48887,0.25738,0.21065,0.11623,1.66269,1.30082,1.20492,0.008713,0.008713,0.008713
15,8742.44,1.71992,1.26071,1.21442,0.49033,0.28199,0.24388,0.13546,1.65801,1.30023,1.20318,0.008614,0.008614,0.008614
16,9323.29,1.71853,1.25008,1.21341,0.50795,0.26171,0.22393,0.12345,1.65378,1.27975,1.19927,0.008515,0.008515,0.008515
17,9902.5,1.70391,1.23638,1.21043,0.49479,0.26725,0.24016,0.13135,1.6516,1.26625,1.20577,0.008416,0.008416,0.008416
18,10482.6,1.70775,1.2348,1.21224,0.48286,0.2972,0.24547,0.13604,1.64786,1.26895,1.2043,0.008317,0.008317,0.008317
19,11064.3,1.70204,1.22888,1.20467,0.45613,0.32604,0.26625,0.14823,1.64241,1.23953,1.19844,0.008218,0.008218,0.008218
20,11643.7,1.69573,1.21722,1.20827,0.54758,0.28946,0.27321,0.15518,1.63921,1.24706,1.20023,0.008119,0.008119,0.008119
